codigo;nombre
Px-279;SHOTCRETE A.C.S. – SACYR – RUTA 68 (AD. MEYCO, DELVO, FIBRA ACERO ROBOCOM)
Px-280;HORMIGON CON AIRE  INCORPORADO Y TIEMPO DE  VIAJE – PARA VALLE NEVADO (SENEXCO)
Px-281;PEGAMIXCERAMICO PLANTA VALDIVIA
Px-282;HORMIGON CON ADITIVO FERROGOARD 911 (SIKA)
Px-283;HORMIGON CON CEMENTO BLANCO – COLOREADO AMARILLO PIGMENTOS BAYER – MEMORIA MARCO CHAMORRO
Px-284;HORMIGONES PARA REDESTINO
Px-285;COMPARACION GRAVA PETREOS v/s MEGARIDOS RANCAGUA
Px-286;PEGAMIXCERAMICO CON ARENA FINA RUFINA AZOCAR
Px-287;HORMIGONES ALTA RESISTENCIA CON TIEMPO DE TRANSPORTE MAYOR A 2 HORAS
Px-288;COMPARACION SUPERPLASTIFICANTES EP-2300, R-1000, SIKAMENT FF-86, PLASTIFIX-10, DARACEM-19, ADVA-100 y R-3000FC
Px-289;COMPARACION DIVERSOS ADITIVOS REDUCTORES DE AGUA: MBT-6, VZ-020 Y 100RI
Px-290;HORMIGON  DE PRUEBA CON ARIDOS M.T. LA SERENA
Px-291;CEMENTO POLPAICO CORRIENTE v/s MELON PREMIX – ADITIVOS: VZ-020, 100RI, CM1, R-200 Y MBT-6
Px-292;PERDIDA DE CONO CEMENTO POLPAICO ESPECIAL CON ADITIVOS VZ-020, CM1 y 100RI
Px-293;HORMIGON COLOREADO AMARILLO CON ARIDO A LA VISTA – TAMAÑO MAXIMO 40mm  (CHANCADO) – SIN GRAVILLA
Px-294;COMPARACION CEMENTO TENO v/s MELON PREMIX
Px-295;COMPARACION CEMENTOS: MELON EXTRA y PREMIX, BIO-BIO ESPECIAL y ARI, POLPAICO ESPECIAL y 400, INACESA ESPECIAL y  A.R.
Px-296;HORMIGONES LIVIANOS ESTRUCTURALES – CON PERLITAS DE POLIESTIRENO EXPANDIDO
Px-297;HORMIGON PARA PLANTA TRATAMIENTO DE AGUAS EMOS – ARIDOS MEGARIDOS
Px-298;COMPARACION ARIDOS PLANTA QUILICURA v/s MEGARIDOS RIO MAIPO
Px-299;PEGAMIXCERAMICO REGION METROPOLITANA
Px-300;MORTERO LECHADA GROUTING
Px-301;HORMIGONES CON ARENA PROARIDOS v/s ARI-2
Px-302;ESTUDIO HORMIGONES CON PZ ARIDOS PLANTA CONCEPCION
Px-303;HORMIGONES CON AIRE INCORPORADO – AIREANTE: HOSTACRETE,,  PREM-AIR, ADIPOR-481 y DAREX AEA
Px-304;HORMIGONES COLOREADOS AMARILLO Y CAFÉ , PIGMENTO BAYER, APLICACIÓN EN VALDIVIA
Px-305;HORMIGON COLOREADO BC20(90)40/10BL-SAL
Px-306;HORMIGONES PLANTA CURACAVI – ARIDOS A..P.T. (ARENA + INTEGRAL)
Px-307;COMPARACION CEMENTOS:  MELON PREMIX, BIOBIO TENO, POLPAICO ESPECIAL, POLPAICO-400 y MELON EXTRA
Px-308;ARIDOS LA CANTERA  v/s MEGARIDOS BUIN (PTA. QUILICURA) 
Px-309;HORMIGON PRUEBA  CLIENTE  PARA  PLANTA  VIÑA – ARIDOS MEGARIDOS CONCON 
Px-310;HORMIGONES PARA SENEXCO VALLE NEVADO – CON FIBRAS POLIPROPILENO Y ADITIVOS VZ-020 , R-1000 Y HOSTACRETE
Px-311;HORMIGONES CON ARENA CORRECTORA  CATALAN (RIO MAIPO – SECTOR LA OBRA) v/s ARENA CORRECTORA TRANSEX (RESTO ARIDOS MEGARIDOS PTA. QUILICURA)
Px-312;HORMIGONES CON ARENA CORRECTORA  MEGARIDOS BUI-2 INDUSTRIAL BAJO 3mm (14%FINOS EN MALLA 200)  v/s ARENA CORRECTORA TRANSEX (RESTO ARIDOS MEGARIDOS PTA. QUILICURA)
Px-313;HORMIGONES CON ARENA CORRECTORA  MEGARIDOS  JULIETT v/s ARENA CORRECTORA TRANSEX (RESTO ARIDOS MEGARIDOS PTA. QUILICURA)
Px-314;HORMIGONES DE PRUEBA  PARA CONSTRUCTORA DELTA 
Px-315;COMPARACION ARIDOS CALIZOS PROARIDOS v/s MEGARIDOS BUIN-TRANSEX (PTA. QL.)
Px-316;COMPARACION CEMENTOS BLANCOS : HUASCARAN v/s NARE
Px-317;HORMIGONES CON ARENA CORRECTORA  MEGARIDOS BUI-2 INDUSTRIAL BAJO 3mm LAVADA (5,9%FINOS EN MALLA 200)  v/s ARENA CORRECTORA TRANSEX (RESTO ARIDOS MEGARIDOS PTA. QUILICURA)
Px-318;HORMIGONES CON FIBRA : POLIPROPILENO, NYLON  CAVE Y ACERO DRAMIX
Px-319;MORTERO DE INYECCION - RALCO
Px-320;COMPARACION ARENAS COSAL  v/s ARMANDO RUIZ – PLANTA TEMUCO
Px-321;HORMIGON POROSO
Px-322;PROYECTO PUZOLANA  2º FASE  HORMIGONES DE PRUEBA  CC 50-60  CC 43-60
Px-323;HORMIGON CON ARENA CORRECTORA JULIETT v/s ROMERAL
Px-324;MORTERO PEGAMIXCERAMICO CON  ARENA PROARIDOS
Px-325;HORMIGON CON ARIDOS 100% PROARIDOS CALIZOS v/s ARIDOS ARI-2 PLANTA ESPEJO – MEDICION DE RETRACCION
Px-326;HORMIGONES LIVIANOS CON PERLITAS DE POLIESTILENO EXPANDIDO
Px-327;HORMIGONDE PRUEBA CLIENTE F.P.S. PRODUCTO HB30(90)32/10 PLANTA LA FLORIDA
Px-328;HORMIGON COLOREADO TIPO BC22.5(85)20/10 PIGMENTO BAYER VERDE-GX – CEMENTO MELON PREMIX Y CEMENTO BLANCO NARE – OBRA RANCHO HANS GILDEMAISTER
Px-329;HORMIGON IMPERMEABLE CON SUPERPLASTIFICANTE E INCORPORADOR DE AIRE
Px-330;COMPARACION ADITIVOS CM1, P-121, VZ-020, RECOVER , ADIPLAST-21 Y ADIPLAST-2
Px-331;MORTERO FLUIDO LARGA VIDA CON READICIONES DE SUPERPLASTIFICANTE
Px-332;HORMIGON DE PAVIMENTO CON ARENA PROARIDOS RIO MAIPO v/s ARENAS PLANTA FLORIDA (RINCON 80% + ROMERAL 20%)
Px-333;HORMIGONES CON ARENA PROARIDOS 0-3mm RIO MAIPO – VARIACION CONTENIDO T4
Px-334;ADITIVOS GRACE-POLCHEM PARA PREMIX : PREMIX-1, PREMIX-2 y PREMIX-3 v/s VZ-020, CM1 Y P-121
Px-335;MANTENCION DE CONO EN HORMIGONES FLUIDOS CON ADITIVOS CM1 y P-121 + R-1000, VZ-020 + EP-2300 y SIN ADITIVO SUPERPLASTIFICANTE
Px-336;COMPARACION ADITIVOS: P-121, CM-1, VZ-020, 100RI, ADIPLST-21, ADIPLAST-2, PREMIX-1, PREMIX-2, PREMIX-3
Px-337;HORMIGONES CON ARIDOS DE PLANTA FLORIDA COMPARACION ARENA CORRECTORA BUIN-2 100% INDUSTRIAL v/s ARENA CORRECTORA ROMERAL – COMPRESION Y FLEXION
Px-338;HORMIGON AUTOCOMPACTANTE – USO DE RHEOBUILD 3000 FC
Px-339;MEMORIA DE TITULO SR. MARIO BARRA – TRABAJABILIDAD HORMIGON – EMPLEO MESA DIN 1048.
Px-340;MANTENCION DE CONO EN EL TIEMPO ADITIVOS GRACE-POLCHEM ADIPLAST-21, PREMIX-2 y PREMIX-3 v/s VZ-020
Px-341;PROYECTO PUZOLANA TERCERA ETAPA HORMIGONES DE PRUEBA CC-50-50   v/s  MELON PREMIX CEMENTOS 27/04/2000.
Px-342;MORTEROS CON  ARENAS MEGARIDOS BUIN-2 INDUSTRIAL, PROARIDOS MAIPO Y ARI-2 RODADA.
Px-343;MORTEROS PARA ESTUCO – CON ADICION DE IMPERMEABILIZANTE SIKA-1 – ARENAS ARI-2 RODADA y DOWLING FINA DE OSORNO
Px-344;HORMIGONES CON IMPERMEABILIZANTE SIKA-1, ADIUNO, SGM-1, RHEOMIX-301 y ELASTOHIDROFUGO
Px-345;HORMIGONES PLANTA CONCEPCION (SENSIBILIDAD ARENA PATAGUAL)
